Rk,Player,Year,Age,Draft,Tm,Lg,Ht,Wt,BMI,G,GS
1,Jarvis Jenkins,2012,24,2-41,WAS,NFL,6-4,310,37.7,16,14
2,Barry Cofield,2012,28,4-124,WAS,NFL,6-3,305,38.1,16,16
3,Stephen Bowen,2012,28,,WAS,NFL,6-5,300,35.6,16,16
4,Ryan Kerrigan,2012,24,1-16,WAS,NFL,6-4,267,32.5,16,16
5,Rob Jackson,2012,27,7-242,WAS,NFL,6-4,259,31.5,16,14
6,London Fletcher,2012,37,,WAS,NFL,5-10,245,35.2,16,16
7,Perry Riley,2012,24,4-103,WAS,NFL,6-1,238,31.4,16,16
8,Reed Doughty,2012,30,6-173,WAS,NFL,6-1,208,27.4,16,10
9,DeAngelo Hall,2012,29,1-8,WAS,NFL,5-10,197,28.3,16,16
10,Madieu Williams,2012,31,2-56,WAS,NFL,6-1,193,25.5,16,16
11,Josh Wilson,2012,27,2-55,WAS,NFL,5-9,189,27.9,16,16
1,Dan Williams,2012,25,1-26,ARI,NFL,6-2,330,42.4,15,11
2,David Carter,2012,25,6-184,ARI,NFL,6-5,294,34.9,16,4
3,Darnell Dockett,2012,31,3-64,ARI,NFL,6-4,293,35.7,15,14
4,Calais Campbell,2012,26,2-50,ARI,NFL,6-8,282,31.0,13,12
5,Sam Acho,2012,24,4-103,ARI,NFL,6-2,262,33.6,16,16
6,Quentin Groves,2012,28,2-52,ARI,NFL,6-3,250,31.2,16,7
7,Paris Lenon,2012,35,,ARI,NFL,6-2,240,30.8,16,16
8,O'Brien Schofield,2012,25,4-130,ARI,NFL,6-2,238,30.6,9,9
9,Daryl Washington,2012,26,2-47,ARI,NFL,6-2,226,29.0,16,16
10,Adrian Wilson,2012,33,3-64,ARI,NFL,6-3,222,27.7,15,14
11,Patrick Peterson,2012,22,1-5,ARI,NFL,6-0,219,29.7,16,16
12,Kerry Rhodes,2012,30,4-123,ARI,NFL,6-3,209,26.1,15,15
13,William Gay,2012,27,5-170,ARI,NFL,5-10,183,26.3,16,15
1,Ma'ake Kemoeatu,2012,33,,BAL,NFL,6-5,335,39.7,15,13
2,Haloti Ngata,2012,28,1-12,BAL,NFL,6-4,335,40.8,15,14
3,Arthur Jones,2012,26,,BAL,NFL,6-3,301,37.6,15,6
4,Paul Kruger,2012,26,2-57,BAL,NFL,6-4,285,34.7,15,5
5,Pernell McPhee,2012,24,5-165,BAL,NFL,6-3,278,34.7,12,6
6,Terrell Suggs,2012,30,1-10,BAL,NFL,6-3,260,32.5,8,8
7,Albert McClellan,2012,26,,BAL,NFL,6-2,255,32.7,14,12
8,Ray Lewis,2012,37,1-26,BAL,NFL,6-1,245,32.3,6,6
9,Jameel McClain,2012,27,,BAL,NFL,6-1,245,32.3,13,13
10,Dannell Ellerbe,2012,27,,BAL,NFL,6-1,236,31.1,13,7
11,Bernard Pollard,2012,28,2-54,BAL,NFL,6-2,225,28.9,13,13
12,Ed Reed,2012,34,1-24,BAL,NFL,5-11,200,27.9,16,16
13,Corey Graham,2012,27,5-168,BAL,NFL,6-0,187,25.4,16,8
14,Cary Williams,2012,28,7-229,BAL,NFL,6-1,185,24.4,16,16
15,Lardarius Webb,2012,27,3-88,BAL,NFL,5-10,179,25.7,6,6
1,Corey Peters,2012,24,3-83,ATL,NFL,6-4,294,35.8,10,7
2,John Abraham,2012,34,1-13,ATL,NFL,6-4,256,31.2,16,14
3,Akeem Dent,2012,25,3-91,ATL,NFL,6-1,242,31.9,16,13
4,Sean Weatherspoon,2012,25,1-19,ATL,NFL,6-1,241,31.8,13,12
5,Stephen Nicholas,2012,29,4-109,ATL,NFL,6-2,225,28.9,16,14
6,William Moore,2012,27,2-55,ATL,NFL,6-0,223,30.2,12,12
7,Thomas DeCoud,2012,27,3-98,ATL,NFL,6-1,196,25.9,16,15
8,Asante Samuel,2012,31,4-120,ATL,NFL,5-10,185,26.5,15,14
9,Dunta Robinson,2012,30,1-10,ATL,NFL,5-10,172,24.7,16,15
1,Marcell Dareus,2012,23,1-3,BUF,NFL,6-3,319,39.9,16,16
2,Keith Williams,2012,24,6-196,BUF,NFL,6-4,318,38.7,13,11
3,Kyle Williams,2012,29,5-134,BUF,NFL,6-1,300,39.6,16,5
4,Mario Williams,2012,27,1-1,BUF,NFL,6-6,290,33.5,16,16
5,Kyle Moore,2012,26,4-117,BUF,NFL,6-4,265,32.3,12,7
6,Mark Anderson,2012,29,5-159,BUF,NFL,6-4,255,31.0,6,5
7,Kelvin Sheppard,2012,24,3-68,BUF,NFL,6-2,250,32.1,16,15
8,Arthur Moats,2012,24,6-178,BUF,NFL,6-0,246,33.4,14,4
9,Nick Barnett,2012,31,1-29,BUF,NFL,6-2,240,30.8,16,16
10,George Wilson,2012,31,,BUF,NFL,6-0,210,28.5,16,16
11,Jairus Byrd,2012,26,2-42,BUF,NFL,6-0,205,27.8,16,14
12,Aaron Williams,2012,22,2-34,BUF,NFL,6-0,204,27.7,11,10
